epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.234,1.97818,10.4158,2.36182,0.12984,0.10012,0.09961,0.08326,1.73285,7.61299,2.17494,0.00012927,0.00012927,0.00012927
2,186.317,2.16405,8.22686,2.5054,0.04973,0.63084,0.26818,0.19494,1.97829,6.95435,2.34185,0.000236702,0.000236702,0.000236702
3,228.689,2.25568,7.03112,2.55857,0.77422,0.06884,0.27363,0.18447,2.35013,5.35254,2.61804,0.000317712,0.000317712,0.000317712
4,269.913,2.25755,6.40512,2.54832,0.55975,0.24197,0.33174,0.22576,2.33842,4.29874,2.64736,0.000293151,0.000293151,0.000293151
5,312.018,2.21868,5.87664,2.53067,0.48398,0.39583,0.41134,0.28164,2.29969,3.5793,2.58276,0.000251868,0.000251868,0.000251868
6,353.192,2.15941,5.45021,2.4708,0.50898,0.44103,0.43555,0.30133,2.24376,3.24082,2.55308,0.000210585,0.000210585,0.000210585
7,395.36,2.0676,5.03159,2.40982,0.51377,0.47704,0.48381,0.33884,2.20381,2.99175,2.51009,0.000169302,0.000169302,0.000169302
8,436.522,2.00464,4.69458,2.36444,0.58575,0.50021,0.52341,0.37895,2.13933,2.86277,2.45732,0.000128019,0.000128019,0.000128019
9,478.689,1.94164,4.40399,2.29247,0.60744,0.52832,0.57794,0.41871,2.11914,2.65659,2.41694,8.6736e-05,8.6736e-05,8.6736e-05
10,519.8,1.8724,4.21226,2.2587,0.62472,0.53815,0.58498,0.42822,2.06591,2.57683,2.37683,4.5453e-05,4.5453e-05,4.5453e-05
